Title,Rating,Genre,Actors,Runtime
It's Always Sunny in Philadelphia,8.8,Comedy,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson",22
House M.D.,8.8,"Drama, Mystery","Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer",44
The Simpsons,8.8,"Animation, Comedy","Dan Castellaneta, Nancy Cartwright, Julie Kavner, Yeardley Smith",22
The Marvelous Mrs. Maisel,8.8,"Comedy, Drama","Rachel Brosnahan, Alex Borstein, Michael Zegen, Marin Hinkle",57
The West Wing,8.8,Drama,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer",44
Twin Peaks,8.8,"Crime, Drama, Mystery","Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook",47
Shingeki no kyojin,8.8,"Animation, Action, Adventure","Yûki Kaji, Marina Inoue, Josh Grelle, Bryce Papenbrook",24
Rome,8.8,"Action, Drama, History","Kevin McKidd, Ray Stevenson, Polly Walker, Kerry Condon",90
Freaks and Geeks,8.8,"Comedy, Drama","Linda Cardellini, John Francis Daley, James Franco, Samm Levine",44
Oz,8.8,"Crime, Drama, Thriller","Ernie Hudson, J.K. Simmons, Lee Tergesen, Dean Winters",55
Skam,8.8,"Drama, Romance","Josefine Frida Pettersen, Iman Meskini, Ulrikke Falch, Lisa Teige",30
